Route_name,Route_link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seats_available
Muzaffarpur (Bihar) to Ranchi,https://www.redbus.in/bus-tickets/muzaffarpur-to-ranchi,Jai Mata Di Tour and Travels,AC Seater (2+2),17:45,11h 00m,04:45,3.6,675,30 Seats available
Muzaffarpur (Bihar) to Ranchi,https://www.redbus.in/bus-tickets/muzaffarpur-to-ranchi,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),18:00,10h 30m,04:30,3.8,630,25 Seats available
Lucknow to Motihari,https://www.redbus.in/bus-tickets/lucknow-to-motihari,Bihar state road transport corporation (BSRTC) - 152185,Volvo AC Seater 2+2,23:00,09h 30m,08:30,3.2,680,31 Seats available
Lucknow to Motihari,https://www.redbus.in/bus-tickets/lucknow-to-motihari,MISHRA BANDHU BUS SERVICE,A/C Seater / Sleeper (2+1),21:30,10h 00m,07:30,2.7,INR 1500,32 Seats available
Lucknow to Motihari,https://www.redbus.in/bus-tickets/lucknow-to-motihari,Shree Balajee Travels And Cargo,A/C Seater / Sleeper (2+1),23:30,09h 30m,09:00,1.2,1349,47 Seats available
Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh,Bihar state road transport corporation (BSRTC) - 153594,AC Seater (2+2),20:41,07h 19m,04:00,2.6,INR 396,35 Seats available
Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh,Maharani Transport,A/C Seater / Sleeper (2+2),16:15,09h 45m,02:00,3.1,555,6 Seats available
Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh,Rajdhani bus service,Non A/C Seater / Sleeper (2+1),18:30,07h 00m,01:30,3.3,509,40 Seats available
Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh,Rekha Luxury,A/C Seater / Sleeper (2+1),20:00,08h 00m,04:00,3.1,537,36 Seats available
Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh,Arzoo Travels,A/C Seater / Sleeper (2+1),20:30,06h 00m,02:30,3.0,463,45 Seats available
Ranchi to Muzaffarpur (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-muzaffarpur,Bihar state road transport corporation (BSRTC) - 153614,AC Seater (2+2),20:55,10h 35m,07:30,2.7,INR 605,33 Seats available
Ranchi to Muzaffarpur (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-muzaffarpur,JGD Travels Pvt Ltd.,Bharat Benz A/C Sleeper (2+1),20:35,09h 40m,06:15,3.4,900,29 Seats available
